Dan,Pocetak Sata,Kraj Sata
MONDAY,08:00,08:45
MONDAY,08:50,09:35
MONDAY,09:40,10:25
MONDAY,10:30,11:15
MONDAY,11:30,12:15
MONDAY,12:20,13:05
MONDAY,13:10,13:55
TUESDAY,08:00,08:45
TUESDAY,08:50,09:35
TUESDAY,09:40,10:25
TUESDAY,10:30,11:15
TUESDAY,11:30,12:15
TUESDAY,12:20,13:05
TUESDAY,13:10,13:55
WEDNESDAY,08:00,08:45
WEDNESDAY,08:50,09:35
WEDNESDAY,09:40,10:25
WEDNESDAY,10:30,11:15
WEDNESDAY,11:30,12:15
WEDNESDAY,12:20,13:05
WEDNESDAY,13:10,13:55
THURSDAY,08:00,08:45
THURSDAY,08:50,09:35
THURSDAY,09:40,10:25
THURSDAY,10:30,11:15
THURSDAY,11:30,12:15
THURSDAY,12:20,13:05
THURSDAY,13:10,13:55
FRIDAY,08:00,08:45
FRIDAY,08:50,09:35
FRIDAY,09:40,10:25
FRIDAY,10:30,11:15
FRIDAY,11:30,12:15
FRIDAY,12:20,13:05
FRIDAY,13:10,13:55